Rough_ID,Rough_Weight_ct,Shape,Length_mm,Width_mm,Height_mm,Color,Clarity,Crack_Level,Cut_Type,Final_Weight_ct
R00001,3.31,Pear,8.47,7.55,5.04,D,VS2,Low,Step,1.28
R00002,0.45,Pear,4.19,3.71,2.9,G,VVS1,Low,Step,0.18
R00003,3.07,Oval,9.03,7.68,6.46,J,VVS2,Low,Brilliant,1.36
R00004,0.74,Round,5.02,4.91,3.84,G,IF,Low,Mixed,0.31
R00005,1.68,Oval,7.26,7.14,5.06,J,VVS2,Medium,Brilliant,0.78
R00006,4.32,Emerald,10.14,9.2,6.77,F,SI1,Low,Mixed,1.95
R00007,3.35,Emerald,9.09,7.96,6.52,I,VS2,Low,Brilliant,1.58
R00008,3.52,Round,9.47,9.15,6.12,E,VS2,Medium,Mixed,1.52
R00009,1.78,Emerald,7.43,6.76,5.91,H,VS2,Low,Step,0.84
R00010,3.81,Round,9.3,8.72,6.18,J,IF,Low,Brilliant,1.88
R00011,3.25,Princess,9.18,8.38,5.19,H,SI2,Low,Brilliant,1.42
R00012,3.5,Cushion,8.72,8.57,7.07,E,VS1,Medium,Brilliant,1.51
R00013,4.78,Emerald,10.48,9.32,6.99,F,SI2,Low,Mixed,2.35
R00014,2.69,Pear,8.04,7.28,4.72,F,VS1,High,Brilliant,0.79
R00015,0.83,Round,5.5,5.49,4.62,D,SI1,Low,Step,0.33
R00016,4.14,Princess,10.11,9.4,5.99,H,SI2,Low,Mixed,1.71
R00017,2.29,Emerald,7.62,7.09,5.81,I,VVS2,Medium,Step,0.97
R00018,4.53,Oval,9.88,8.77,5.43,D,IF,Low,Mixed,2.19
R00019,3.27,Cushion,8.63,8.51,7.3,E,VS2,Low,Brilliant,1.55
R00020,3.7,Round,9.66,9.05,6.09,I,VS1,Medium,Step,1.61
R00021,2.29,Princess,7.88,7.56,6.06,J,SI2,Low,Brilliant,0.99
R00022,1.47,Round,6.51,5.97,4.34,G,SI2,Low,Mixed,0.58
R00023,0.76,Oval,5.63,5.24,3.17,G,VS1,High,Step,0.25
R00024,1.3,Cushion,6.45,5.54,3.95,F,VS1,Low,Mixed,0.52
R00025,4.8,Round,10.62,9.91,8.08,H,SI1,Low,Mixed,2.29
R00026,0.59,Round,4.85,4.16,3.09,J,VVS1,Low,Brilliant,0.22
R00027,3.1,Pear,8.92,7.9,5.02,D,VS1,Low,Mixed,1.28
R00028,3.04,Oval,8.71,8.62,5.7,I,SI1,Low,Step,1.35
R00029,2.45,Round,8.52,8.44,5.09,H,VVS1,High,Mixed,0.72
R00030,1.55,Pear,7.38,7.25,6.26,I,VVS2,Low,Mixed,0.69
R00031,4.92,Oval,10.51,9.77,7.82,F,IF,Low,Brilliant,2
R00032,3.79,Princess,9.01,8.04,5.33,H,VS1,Low,Step,1.59
R00033,4.56,Oval,10.3,8.9,6.47,I,VVS2,Low,Brilliant,2.09
R00034,3.78,Oval,9.4,8.59,5.18,H,IF,High,Step,1.34
R00035,3.04,Princess,8.34,7.25,5.02,E,SI1,High,Brilliant,1.21
R00036,3.43,Oval,8.9,8.31,7.17,J,VVS1,Medium,Brilliant,1.17
R00037,4.44,Oval,9.39,9.02,6.31,F,VVS1,Medium,Mixed,1.59
R00038,0.81,Oval,5.97,5.84,3.89,E,IF,Low,Mixed,0.32
R00039,1.21,Emerald,6.22,6.09,5.42,J,VS2,Low,Step,0.53
R00040,4.71,Princess,9.67,9.63,6.29,I,SI2,Low,Step,2.01
R00041,2.35,Round,8.46,7.34,6.38,H,SI2,Low,Mixed,0.98
R00042,3.53,Princess,9.58,9.2,6.06,H,VVS2,Low,Mixed,1.46
R00043,4.29,Pear,9.97,8.92,6.18,E,VVS1,Low,Step,1.75
R00044,3.43,Round,8.93,8.59,5.6,F,VVS2,Low,Brilliant,1.43
R00045,2.32,Emerald,8.02,7.6,5.62,E,SI1,Medium,Brilliant,0.92
R00046,1.63,Oval,7.23,6.82,4.28,E,IF,Low,Brilliant,0.71
R00047,1.45,Emerald,6.77,6.62,4.12,I,VS1,Medium,Step,0.57
R00048,2.18,Oval,7.43,7.08,6.14,E,SI2,Medium,Mixed,0.76
R00049,2.73,Pear,7.94,7.05,6.02,H,VS2,Low,Step,1.18
R00050,4.77,Cushion,10.49,9.88,8.06,E,SI1,Low,Step,1.8
R00051,2.42,Princess,8.31,8.11,5.54,G,IF,Low,Mixed,0.97
R00052,1.64,Oval,6.85,6.15,4.69,I,VVS1,Low,Brilliant,0.75
R00053,2.25,Emerald,7.69,7.07,4.37,D,SI2,Low,Mixed,0.9
R00054,2.09,Pear,7.18,6.48,5.35,E,VS1,Low,Brilliant,0.84
R00055,1.58,Cushion,6.97,6.33,5.07,E,VS2,Low,Mixed,0.72
R00056,0.43,Oval,4.42,4.13,2.51,D,VVS2,Low,Step,0.16
R00057,1.84,Princess,7.31,6.58,5.68,J,IF,Medium,Step,0.68
R00058,0.39,Round,4.42,4.42,3.12,J,IF,Low,Brilliant,0.14
R00059,1.24,Cushion,5.97,5.21,3.32,I,VVS2,Low,Step,0.45
R00060,1.09,Round,6.28,6.04,3.83,F,VS2,High,Mixed,0.46
R00061,4.57,Round,9.83,9.74,6.42,I,SI2,Medium,Step,1.73
R00062,4.3,Emerald,9.86,8.56,7.66,F,IF,Low,Mixed,1.76
R00063,3.34,Cushion,8.48,7.74,5.78,I,VVS1,High,Step,1.15
R00064,1.13,Emerald,6.27,5.94,4.66,H,VVS2,Medium,Step,0.45
R00065,4.3,Emerald,10.09,8.71,7.53,G,VVS2,Medium,Brilliant,1.73
R00066,2.62,Emerald,8.1,7.48,5.28,F,VS2,Low,Brilliant,1.03
R00067,2.73,Emerald,8.08,7.16,5.17,I,VS1,Medium,Step,1.02
R00068,4.03,Pear,9.14,8.07,6.52,H,VVS2,Medium,Step,1.71
R00069,4.98,Oval,10.3,9.3,6.85,F,IF,Low,Mixed,2.41
